genus,family
Pongo,Hominidae
Cheirogaleus,Cheirogaleidae
Microcebus,Cheirogaleidae
Plecturocebus,Pitheciidae
Cheracebus,Pitheciidae
Giraffa,Giraffidae
Saimiri,Cebidae
Macaca,Cercopithecidae
Cacajao,Pitheciidae
Pithecia,Pitheciidae
Eumops,Molossidae
Mormopterus,Molossidae
Canis,Canidae
Pedetes,Pedetidae
Akodon,Cricetidae
Calomys,Cricetidae
Baiyankamys,Muridae
Hydromys,Muridae
Margaretamys,Muridae
Paucidentomys,Muridae
Waiomys,Muridae
Oecomys,Cricetidae
Saxatilomys,Muridae
Leptomys,Muridae
Coccymys,Muridae
Eliurus,Nesomyidae
Neomicroxus,Cricetidae
Hylomyscus,Muridae
Microhydromys,Muridae
Musseromys,Muridae
Soricomys,Muridae
Sooretamys,Cricetidae
Nephelomys,Cricetidae
Transandinomys,Cricetidae
Oreoryzomys,Cricetidae
Hylaeamys,Cricetidae
Mindomys,Cricetidae
Mirzamys,Muridae
Pseudohydromys,Muridae
Euryoryzomys,Cricetidae
Cerradomys,Cricetidae
Eremoryzomys,Cricetidae
Aegialomys,Cricetidae
Tonkinomys,Muridae
Voalavo,Nesomyidae
Halmaheramys,Muridae
Rattus,Muridae
Mus,Muridae
Otomys,Muridae
Myotomys,Muridae
Uromys,Muridae
Vandeleuria,Muridae
Sommeromys,Muridae
Stenocephalemys,Muridae
Rhabdomys,Muridae
Rhagamys,Muridae
Taeromys,Muridae
Thamnomys,Muridae
Pseudomys,Muridae
Protochromys,Muridae
Praomys,Muridae
Pogonomys,Muridae
Pithecheirops,Muridae
Pithecheir,Muridae
Paramelomys,Muridae
Niviventer,Muridae
Nesoromys,Muridae
Myomyscus,Muridae
Nilopegamys,Muridae
Mylomys,Muridae
Micaelamys,Muridae
Melomys,Muridae
Mastomys,Muridae
Mastacomys,Muridae
Mammelomys,Muridae
Madromys,Muridae
Limnomys,Muridae
Lemniscomys,Muridae
Leopoldamys,Muridae
Hadromys,Muridae
Hybomys,Muridae
Grammomys,Muridae
Echiothrix,Muridae
Desmomys,Muridae
Diplothrix,Muridae
Dephomys,Muridae
Dasymys,Muridae
Crunomys,Muridae
Crateromys,Muridae
Chrotomys,Muridae
Bullimus,Muridae
Arvicanthis,Muridae
Batomys,Muridae
Apomys,Muridae
Apodemus,Muridae
Taterillus,Muridae
Abeomelomys,Muridae
Aethomys,Muridae
Meriones,Muridae
Gerbilliscus,Muridae
Dipodillus,Muridae
Lophuromys,Muridae
Acomys,Muridae
Thomasomys,Cricetidae
Thaptomys,Cricetidae
Sigmodon,Cricetidae
Tapecomys,Cricetidae
Rhipidomys,Cricetidae
Scapteromys,Cricetidae
Salinomys,Cricetidae
Reithrodon,Cricetidae
Punomys,Cricetidae
Rhagomys,Cricetidae
Phyllotis,Cricetidae
Pearsonomys,Cricetidae
