fullname,genus
Pongo tapanuliensis,Pongo
Cheirogaleus shethi,Cheirogaleus
Microcebus manitatra,Microcebus
Microcebus ganzhorni,Microcebus
Microcebus boraha,Microcebus
Plecturocebus aureipalatii,Plecturocebus
Plecturocebus stephennashi,Plecturocebus
Plecturocebus brunneus,Plecturocebus
Plecturocebus ornatus,Plecturocebus
Plecturocebus caligatus,Plecturocebus
Plecturocebus discolor,Plecturocebus
Plecturocebus caquetensis,Plecturocebus
Plecturocebus baptista,Plecturocebus
Plecturocebus cupreus,Plecturocebus
Plecturocebus hoffmannsi,Plecturocebus
Plecturocebus miltoni,Plecturocebus
Plecturocebus cinerascens,Plecturocebus
Plecturocebus bernhardi,Plecturocebus
Plecturocebus vieirai,Plecturocebus
Plecturocebus moloch,Plecturocebus
Plecturocebus modestus,Plecturocebus
Plecturocebus olallae,Plecturocebus
Plecturocebus oenanthe,Plecturocebus
Plecturocebus pallescens,Plecturocebus
Cheracebus purinus,Cheracebus
Cheracebus regulus,Cheracebus
Cheracebus lucifer,Cheracebus
Plecturocebus donacophilus,Plecturocebus
Cheracebus medemi,Cheracebus
Cheracebus lugens,Cheracebus
Cheracebus torquatus,Cheracebus
Giraffa reticulata,Giraffa
Giraffa tippelskirchi,Giraffa
Cheirogaleus andysabini,Cheirogaleus
Saimiri collinsi,Saimiri
Macaca leucogenys,Macaca
Cacajao hosomi,Cacajao
Cacajao ayresi,Cacajao
Pithecia vanzolinii,Pithecia
Pithecia napensis,Pithecia
Pithecia milleri,Pithecia
Pithecia chrysocephala,Pithecia
Eumops ferox,Eumops
Mormopterus halli,Mormopterus
Mormopterus cobourgianus,Mormopterus
Mormopterus ridei,Mormopterus
Mormopterus lumsdenae,Mormopterus
Canis anthus,Canis
Pedetes surdaster,Pedetes
Mormopterus kitcheneri,Mormopterus
Mormopterus petersi,Mormopterus
Akodon caenosus,Akodon
Calomys cerqueirai,Calomys
Baiyankamys shawmayeri,Baiyankamys
Baiyankamys habbema,Baiyankamys
Hydromys ziegleri,Hydromys
Margaretamys christinae,Margaretamys
Paucidentomys vermidax,Paucidentomys
Waiomys mamasae,Waiomys
Oecomys sydandersoni,Oecomys
Saxatilomys paulinae,Saxatilomys
Leptomys arfakensis,Leptomys
Leptomys paulus,Leptomys
Coccymys shawmayeri,Coccymys
Coccymys kirrhos,Coccymys
Eliurus danieli,Eliurus
Neomicroxus latebricola,Neomicroxus
Neomicroxus bogotensis,Neomicroxus
Hylomyscus kerbispeterhansi,Hylomyscus
Microhydromys argenteus,Microhydromys
Musseromys gulantang,Musseromys
Soricomys musseri,Soricomys
Soricomys kalinga,Soricomys
Sooretamys angouya,Sooretamys
Nephelomys pectoralis,Nephelomys
Transandinomys talamancae,Transandinomys
Oreoryzomys balneator,Oreoryzomys
Nephelomys nimbosus,Nephelomys
Transandinomys bolivaris,Transandinomys
Nephelomys moerex,Nephelomys
Nephelomys keaysi,Nephelomys
Nephelomys devius,Nephelomys
Nephelomys childi,Nephelomys
Nephelomys pirrensis,Nephelomys
Nephelomys meridensis,Nephelomys
Nephelomys maculiventer,Nephelomys
Nephelomys levipes,Nephelomys
Nephelomys caracolus,Nephelomys
Nephelomys auriventer,Nephelomys
Nephelomys albigularis,Nephelomys
Hylaeamys megacephalus,Hylaeamys
Hylaeamys laticeps,Hylaeamys
Hylaeamys oniscus,Hylaeamys
Mindomys hammondi,Mindomys
Hylaeamys perenensis,Hylaeamys
Hylaeamys tatei,Hylaeamys
Hylaeamys yunganus,Hylaeamys
Hylaeamys acritus,Hylaeamys
Mirzamys norahae,Mirzamys
Mirzamys louiseae,Mirzamys
Pseudohydromys germani,Pseudohydromys
Pseudohydromys pumehanae,Pseudohydromys
Pseudohydromys musseri,Pseudohydromys
Pseudohydromys sandrae,Pseudohydromys
Pseudohydromys patriciae,Pseudohydromys
Pseudohydromys eleanorae,Pseudohydromys
Euryoryzomys russatus,Euryoryzomys
Euryoryzomys legatus,Euryoryzomys
Euryoryzomys lamia,Euryoryzomys
Euryoryzomys macconnelli,Euryoryzomys
Euryoryzomys emmonsae,Euryoryzomys
Euryoryzomys nitidus,Euryoryzomys
Cerradomys goytaca,Cerradomys
Cerradomys vivoi,Cerradomys
Cerradomys langguthi,Cerradomys
Eremoryzomys polius,Eremoryzomys
Cerradomys subflavus,Cerradomys
Cerradomys scotti,Cerradomys
Cerradomys marinhus,Cerradomys
Cerradomys maracajuensis,Cerradomys
Aegialomys galapagoensis,Aegialomys
Aegialomys xanthaeolus,Aegialomys
Tonkinomys daovantieni,Tonkinomys
Voalavo antsahabensis,Voalavo
Halmaheramys bokimekot,Halmaheramys
Rattus satarae,Rattus
Mus nitidulus,Mus
Otomys orestes,Otomys
Otomys uzungwensis,Otomys
Otomys lacustris,Otomys
Otomys jacksoni,Otomys
Otomys dollmani,Otomys
Otomys dartmouthi,Otomys
Otomys cuanzensis,Otomys
Otomys burtoni,Otomys
Otomys barbouri,Otomys
Myotomys unisulcatus,Myotomys
Myotomys sloggetti,Myotomys
Uromys neobritannicus,Uromys
Uromys siebersi,Uromys
Uromys emmae,Uromys
Vandeleuria nilagirica,Vandeleuria
Sommeromys macrorhinos,Sommeromys
Rattus omichlodes,Rattus
Rattus niobe,Rattus
Rattus vandeuseni,Rattus
Rattus richardsoni,Rattus
Rattus verecundus,Rattus
Stenocephalemys ruppi,Stenocephalemys
Stenocephalemys albipes,Stenocephalemys
Rhabdomys dilectus,Rhabdomys
Rattus blangorum,Rattus
Rhagamys orthodon,Rhagamys
Taeromys microbullatus,Taeromys
Rattus pyctoris,Rattus
Thamnomys major,Thamnomys
Rattus salocco,Rattus
Rattus pococki,Rattus
Rattus arrogans,Rattus
