family,order
Hominidae,Primates
Cheirogaleidae,Primates
Pitheciidae,Primates
Giraffidae,Artiodactyla
Cebidae,Primates
Cercopithecidae,Primates
Molossidae,Chiroptera
Canidae,Carnivora
Pedetidae,Rodentia
Cricetidae,Rodentia
Muridae,Rodentia
Nesomyidae,Rodentia
Calomyscidae,Rodentia
Spalacidae,Rodentia
Dipodidae,Rodentia
Gliridae,Rodentia
Phyllostomidae,Chiroptera
Vespertilionidae,Chiroptera
Rhinolophidae,Chiroptera
Thyropteridae,Chiroptera
Pteropodidae,Chiroptera
Miniopteridae,Chiroptera
Hipposideridae,Chiroptera
Rhinopomatidae,Chiroptera
Natalidae,Chiroptera
Emballonuridae,Chiroptera
Myzopodidae,Chiroptera
Cistugidae,Chiroptera
Mormoopidae,Chiroptera
Nycteridae,Chiroptera
Indriidae,Primates
Atelidae,Primates
Hylobatidae,Primates
Aotidae,Primates
Callitrichidae,Primates
Tarsiidae,Primates
Lorisidae,Primates
Galagidae,Primates
Lemuridae,Primates
Lepilemuridae,Primates
Dasyuridae,Dasyuromorphia
Iniidae,Cetacea
Felidae,Carnivora
Tapiridae,Perissodactyla
Sciuridae,Rodentia
Equidae,Perissodactyla
Rhinocerotidae,Perissodactyla
Procyonidae,Carnivora
Heteromyidae,Rodentia
Geomyidae,Rodentia
Bovidae,Artiodactyla
Suidae,Artiodactyla
Cervidae,Artiodactyla
Hippopotamidae,Artiodactyla
Camelidae,Artiodactyla
Moschidae,Artiodactyla
Tragulidae,Artiodactyla
Erethizontidae,Rodentia
Capromyidae,Rodentia
Echimyidae,Rodentia
Chinchillidae,Rodentia
Abrocomidae,Rodentia
Octodontidae,Rodentia
Ctenomyidae,Rodentia
Cuniculidae,Rodentia
Caviidae,Rodentia
Dasyproctidae,Rodentia
Bathyergidae,Rodentia
Hyperoodontidae,Cetacea
Delphinidae,Cetacea
Leporidae,Lagomorpha
Manidae,Pholidota
Viverridae,Carnivora
Balaenopteridae,Cetacea
Ochotonidae,Lagomorpha
Cynocephalidae,Dermoptera
Bradypodidae,Pilosa
Tupaiidae,Scandentia
Mustelidae,Carnivora
Dasypodidae,Cingulata
Mephitidae,Carnivora
Hyaenidae,Carnivora
Herpestidae,Carnivora
Talpidae,Soricomorpha
Soricidae,Soricomorpha
Solenodontidae,Soricomorpha
Nesophontidae,Soricomorpha
Erinaceidae,Erinaceomorpha
Chrysochloridae,Afrosoricida
Tenrecidae,Afrosoricida
Phalangeridae,Diprotodontia
Macropodidae,Diprotodontia
Pseudocheiridae,Diprotodontia
Potoroidae,Diprotodontia
Petauridae,Diprotodontia
Caenolestidae,Paucituberculata
Didelphidae,Didelphimorphia
Tachyglossidae,Monotremata
Diatomyidae,Rodentia
Platacanthomyidae,Rodentia
Mystacinidae,Chiroptera
Furipteridae,Chiroptera
Noctilionidae,Chiroptera
Megadermatidae,Chiroptera
Craseonycteridae,Chiroptera
Prolagidae,Lagomorpha
Tayassuidae,Artiodactyla
Myrmecophagidae,Pilosa
Cyclopedidae,Pilosa
Megalonychidae,Pilosa
Phocidae,Carnivora
Otariidae,Carnivora
Eupleridae,Carnivora
Nandiniidae,Carnivora
Ursidae,Carnivora
Ailuridae,Carnivora
Tarsipedidae,Diprotodontia
Acrobatidae,Diprotodontia
Burramyidae,Diprotodontia
Balaenidae,Cetacea
Elephantidae,Proboscidea
Macroscelididae,Macroscelidea
Orycteropodidae,Tubulidentata
Procaviidae,Hyracoidea
Heptaxodontidae,Rodentia
Dinomyidae,Rodentia
Thryonomyidae,Rodentia
Petromuridae,Rodentia
Hystricidae,Rodentia
Ptilocercidae,Scandentia
Ctenodactylidae,Rodentia
Anomaluridae,Rodentia
Castoridae,Rodentia
Hypsiprymnodontidae,Diprotodontia
Vombatidae,Diprotodontia
Peramelidae,Peramelemorphia
Notoryctidae,Notoryctemorphia
Thylacomyidae,Peramelemorphia
Phascolarctidae,Diprotodontia
Chaeropodidae,Peramelemorphia
Myrmecobiidae,Dasyuromorphia
Microbiotheriidae,Microbiotheria
Thylacinidae,Dasyuromorphia
Ornithorhynchidae,Monotremata
Antilocapridae,Artiodactyla
Trichechidae,Sirenia
Dugongidae,Sirenia
Odobenidae,Carnivora
Neobalaenidae,Cetacea
Eschrichtiidae,Cetacea
Kogiidae,Cetacea
Phocoenidae,Cetacea
Monodontidae,Cetacea
Physeteridae,Cetacea
Platanistidae,Cetacea
Myocastoridae,Rodentia
Aplodontiidae,Rodentia
