fullname,part_of
Pongo tapanuliensis,Mammalia
Cheirogaleus shethi,Mammalia
Microcebus manitatra,Mammalia
Microcebus ganzhorni,Mammalia
Microcebus boraha,Mammalia
Plecturocebus aureipalatii,Mammalia
Plecturocebus stephennashi,Mammalia
Plecturocebus brunneus,Mammalia
Plecturocebus ornatus,Mammalia
Plecturocebus caligatus,Mammalia
Plecturocebus discolor,Mammalia
Plecturocebus caquetensis,Mammalia
Plecturocebus baptista,Mammalia
Plecturocebus cupreus,Mammalia
Plecturocebus hoffmannsi,Mammalia
Plecturocebus miltoni,Mammalia
Plecturocebus cinerascens,Mammalia
Plecturocebus bernhardi,Mammalia
Plecturocebus vieirai,Mammalia
Plecturocebus moloch,Mammalia
Plecturocebus modestus,Mammalia
Plecturocebus olallae,Mammalia
Plecturocebus oenanthe,Mammalia
Plecturocebus pallescens,Mammalia
Cheracebus purinus,Mammalia
Cheracebus regulus,Mammalia
Cheracebus lucifer,Mammalia
Plecturocebus donacophilus,Mammalia
Cheracebus medemi,Mammalia
Cheracebus lugens,Mammalia
Cheracebus torquatus,Mammalia
Giraffa reticulata,Mammalia
Giraffa tippelskirchi,Mammalia
Cheirogaleus andysabini,Mammalia
Saimiri collinsi,Mammalia
Macaca leucogenys,Mammalia
Cacajao hosomi,Mammalia
Cacajao ayresi,Mammalia
Pithecia vanzolinii,Mammalia
Pithecia napensis,Mammalia
Pithecia milleri,Mammalia
Pithecia chrysocephala,Mammalia
Eumops ferox,Mammalia
Mormopterus halli,Mammalia
Mormopterus cobourgianus,Mammalia
Mormopterus ridei,Mammalia
Mormopterus lumsdenae,Mammalia
Canis anthus,Mammalia
Pedetes surdaster,Mammalia
Mormopterus kitcheneri,Mammalia
Mormopterus petersi,Mammalia
Akodon caenosus,Mammalia
Calomys cerqueirai,Mammalia
Baiyankamys shawmayeri,Mammalia
Baiyankamys habbema,Mammalia
Hydromys ziegleri,Mammalia
Margaretamys christinae,Mammalia
Paucidentomys vermidax,Mammalia
Waiomys mamasae,Mammalia
Oecomys sydandersoni,Mammalia
Saxatilomys paulinae,Mammalia
Leptomys arfakensis,Mammalia
Leptomys paulus,Mammalia
Coccymys shawmayeri,Mammalia
Coccymys kirrhos,Mammalia
Eliurus danieli,Mammalia
Neomicroxus latebricola,Mammalia
Neomicroxus bogotensis,Mammalia
Hylomyscus kerbispeterhansi,Mammalia
Microhydromys argenteus,Mammalia
Musseromys gulantang,Mammalia
Soricomys musseri,Mammalia
Soricomys kalinga,Mammalia
Sooretamys angouya,Mammalia
Nephelomys pectoralis,Mammalia
Transandinomys talamancae,Mammalia
Oreoryzomys balneator,Mammalia
Nephelomys nimbosus,Mammalia
Transandinomys bolivaris,Mammalia
Nephelomys moerex,Mammalia
Nephelomys keaysi,Mammalia
Nephelomys devius,Mammalia
Nephelomys childi,Mammalia
Nephelomys pirrensis,Mammalia
Nephelomys meridensis,Mammalia
Nephelomys maculiventer,Mammalia
Nephelomys levipes,Mammalia
Nephelomys caracolus,Mammalia
Nephelomys auriventer,Mammalia
Nephelomys albigularis,Mammalia
Hylaeamys megacephalus,Mammalia
Hylaeamys laticeps,Mammalia
Hylaeamys oniscus,Mammalia
Mindomys hammondi,Mammalia
Hylaeamys perenensis,Mammalia
Hylaeamys tatei,Mammalia
Hylaeamys yunganus,Mammalia
Hylaeamys acritus,Mammalia
Mirzamys norahae,Mammalia
Mirzamys louiseae,Mammalia
Pseudohydromys germani,Mammalia
Pseudohydromys pumehanae,Mammalia
Pseudohydromys musseri,Mammalia
Pseudohydromys sandrae,Mammalia
Pseudohydromys patriciae,Mammalia
Pseudohydromys eleanorae,Mammalia
Euryoryzomys russatus,Mammalia
Euryoryzomys legatus,Mammalia
Euryoryzomys lamia,Mammalia
Euryoryzomys macconnelli,Mammalia
Euryoryzomys emmonsae,Mammalia
Euryoryzomys nitidus,Mammalia
Cerradomys goytaca,Mammalia
Cerradomys vivoi,Mammalia
Cerradomys langguthi,Mammalia
Eremoryzomys polius,Mammalia
Cerradomys subflavus,Mammalia
Cerradomys scotti,Mammalia
Cerradomys marinhus,Mammalia
Cerradomys maracajuensis,Mammalia
Aegialomys galapagoensis,Mammalia
Aegialomys xanthaeolus,Mammalia
Tonkinomys daovantieni,Mammalia
Voalavo antsahabensis,Mammalia
Halmaheramys bokimekot,Mammalia
Rattus satarae,Mammalia
Mus nitidulus,Mammalia
Otomys orestes,Mammalia
Otomys uzungwensis,Mammalia
Otomys lacustris,Mammalia
Otomys jacksoni,Mammalia
Otomys dollmani,Mammalia
Otomys dartmouthi,Mammalia
Otomys cuanzensis,Mammalia
Otomys burtoni,Mammalia
Otomys barbouri,Mammalia
Myotomys unisulcatus,Mammalia
Myotomys sloggetti,Mammalia
Uromys neobritannicus,Mammalia
Uromys siebersi,Mammalia
Uromys emmae,Mammalia
Vandeleuria nilagirica,Mammalia
Sommeromys macrorhinos,Mammalia
Rattus omichlodes,Mammalia
Rattus niobe,Mammalia
Rattus vandeuseni,Mammalia
Rattus richardsoni,Mammalia
Rattus verecundus,Mammalia
Stenocephalemys ruppi,Mammalia
Stenocephalemys albipes,Mammalia
Rhabdomys dilectus,Mammalia
Rattus blangorum,Mammalia
Rhagamys orthodon,Mammalia
Taeromys microbullatus,Mammalia
Rattus pyctoris,Mammalia
Thamnomys major,Mammalia
Rattus salocco,Mammalia
Rattus pococki,Mammalia
Rattus arrogans,Mammalia
Rattus arfakiensis,Mammalia
Pseudomys calabyi,Mammalia
Rattus andamanensis,Mammalia
Pseudohydromys fuscus,Mammalia
Pseudohydromys ellermani,Mammalia
Protochromys fellowsi,Mammalia
Praomys petteri,Mammalia
Praomys verschureni,Mammalia
Praomys obscurus,Mammalia
Praomys lukolelae,Mammalia
Praomys derooi,Mammalia
Praomys degraaffi,Mammalia
Praomys daltoni,Mammalia
Pogonomys fergussoniensis,Mammalia
Pithecheirops otion,Mammalia
Pithecheir melanurus,Mammalia
Paramelomys steini,Mammalia
Paramelomys rubex,Mammalia
Paramelomys platyops,Mammalia
Paramelomys naso,Mammalia
Paramelomys moncktoni,Mammalia
Paramelomys mollis,Mammalia
Paramelomys lorentzii,Mammalia
Paramelomys levipes,Mammalia
Niviventer fraternus,Mammalia
Paramelomys gressitti,Mammalia
Niviventer cameroni,Mammalia
Uromys boeadii,Mammalia
Nesoromys ceramicus,Mammalia
Myomyscus yemeni,Mammalia
Myomyscus verreauxii,Mammalia
Niviventer coninga,Mammalia
Nilopegamys plumbeus,Mammalia
Myomyscus brockmani,Mammalia
Mylomys rex,Mammalia
Mus fragilicauda,Mammalia
Micaelamys granti,Mammalia
Myomyscus angolensis,Mammalia
Micaelamys namaquensis,Mammalia
Melomys talaudium,Mammalia
Melomys paveli,Mammalia
Melomys lutillus,Mammalia
Melomys matambuai,Mammalia
Melomys fulgens,Mammalia
Melomys howi,Mammalia
Melomys frigicola,Mammalia
Melomys dollmani,Mammalia
Melomys cooperae,Mammalia
Melomys caurinus,Mammalia
Melomys bannisteri,Mammalia
Melomys arcium,Mammalia
Mastomys kollmannspergeri,Mammalia
Mastomys awashensis,Mammalia
Mastacomys fuscus,Mammalia
Mastomys huberti,Mammalia
Mammelomys rattoides,Mammalia
Mammelomys lanosus,Mammalia
Madromys blanfordi,Mammalia
Limnomys bryophilus,Mammalia
Lemniscomys zebra,Mammalia
Leopoldamys milleti,Mammalia
Leopoldamys ciliatus,Mammalia
Hylomyscus grandis,Mammalia
Hydromys neobritannicus,Mammalia
Hadromys yunnanensis,Mammalia
Hybomys badius,Mammalia
Grammomys kuru,Mammalia
Grammomys poensis,Mammalia
Echiothrix centrosa,Mammalia
Desmomys yaldeni,Mammalia
Diplothrix legata,Mammalia
Dephomys eburneae,Mammalia
Dasymys sua,Mammalia
Dasymys rwandae,Mammalia
Dasymys cabrali,Mammalia
Crunomys suncoides,Mammalia
Dasymys alleni,Mammalia
Crateromys heaneyi,Mammalia
Chrotomys silaceus,Mammalia
Bullimus gamay,Mammalia
Arvicanthis rufinus,Mammalia
Batomys russatus,Mammalia
Arvicanthis niloticus,Mammalia
Apomys hylocetes,Mammalia
Arvicanthis ansorgei,Mammalia
Apomys gracilirostris,Mammalia
Apodemus witherbyi,Mammalia
Apodemus pallipes,Mammalia
Apodemus epimelas,Mammalia
Taterillus tranieri,Mammalia
Abeomelomys sevia,Mammalia
Aethomys ineptus,Mammalia
Meriones grandis,Mammalia
Gerbilliscus validus,Mammalia
Gerbilliscus robustus,Mammalia
Gerbilliscus phillipsi,Mammalia
Gerbilliscus leucogaster,Mammalia
Gerbilliscus nigricaudus,Mammalia
Gerbilliscus inclusus,Mammalia
Gerbilliscus guineae,Mammalia
Gerbilliscus brantsii,Mammalia
Gerbilliscus afra,Mammalia
Gerbilliscus boehmi,Mammalia
Dipodillus zakariai,Mammalia
Dipodillus stigmonyx,Mammalia
Dipodillus somalicus,Mammalia
Dipodillus simoni,Mammalia
Dipodillus rupicola,Mammalia
Dipodillus maghrebi,Mammalia
Dipodillus mackilligini,Mammalia
Dipodillus lowei,Mammalia
Dipodillus harwoodi,Mammalia
Dipodillus dasyurus,Mammalia
Dipodillus jamesi,Mammalia
Dipodillus campestris,Mammalia
Lophuromys zena,Mammalia
Dipodillus bottai,Mammalia
Lophuromys verhageni,Mammalia
Lophuromys roseveari,Mammalia
Lophuromys huttereri,Mammalia
Lophuromys eisentrauti,Mammalia
Lophuromys dudui,Mammalia
Lophuromys dieterleni,Mammalia
Lophuromys chrysopus,Mammalia
Lophuromys brevicaudus,Mammalia
Lophuromys ansorgei,Mammalia
Lophuromys aquilus,Mammalia
Lophuromys angolensis,Mammalia
Lophuromys brunneus,Mammalia
Acomys johannis,Mammalia
Acomys cineraceus,Mammalia
Acomys seurati,Mammalia
Acomys dimidiatus,Mammalia
Acomys chudeaui,Mammalia
Acomys cahirinus,Mammalia
Acomys airensis,Mammalia
Thomasomys vulcani,Mammalia
Thomasomys praetor,Mammalia
Thomasomys ucucha,Mammalia
Thomasomys popayanus,Mammalia
Thomasomys macrotis,Mammalia
Thomasomys onkiro,Mammalia
Thomasomys ischyrus,Mammalia
Thomasomys hudsoni,Mammalia
Thomasomys erro,Mammalia
Thomasomys caudivarius,Mammalia
Thomasomys cinnameus,Mammalia
Thomasomys apeco,Mammalia
Thaptomys nigrita,Mammalia
Sigmodon zanjonensis,Mammalia
Sigmodon planifrons,Mammalia
Tapecomys primus,Mammalia
Sigmodon toltecus,Mammalia
Sigmodon hirsutus,Mammalia
Rhipidomys modicus,Mammalia
Rhipidomys macrurus,Mammalia
Rhipidomys gardneri,Mammalia
Scapteromys aquaticus,Mammalia
Salinomys delicatus,Mammalia
Reithrodon typicus,Mammalia
Punomys kofordi,Mammalia
Rhipidomys emiliae,Mammalia
Rhagomys longilingua,Mammalia
Phyllotis bonariensis,Mammalia
Pearsonomys annectens,Mammalia
Oecomys catherinae,Mammalia
Oxymycterus amazonicus,Mammalia
Oxymycterus quaestor,Mammalia
Oecomys auyantepui,Mammalia
Paralomys gerbillus,Mammalia
Nectomys rattus,Mammalia
Oxymycterus caparoae,Mammalia
Oligoryzomys stramineus,Mammalia
Oligoryzomys fornesi,Mammalia
Oxymycterus josei,Mammalia
Oligoryzomys brendae,Mammalia
Oxymycterus dasytrichus,Mammalia
Noronhomys vespuccii,Mammalia
Oryzomys curasoae,Mammalia
Nectomys magdalenae,Mammalia
Nectomys apicalis,Mammalia
Necromys urichi,Mammalia
Necromys temchuki,Mammalia
Necromys punctulatus,Mammalia
Necromys obscurus,Mammalia
Necromys lenguarum,Mammalia
Necromys lasiurus,Mammalia
Necromys benefactus,Mammalia
Necromys lactens,Mammalia
Necromys amoenus,Mammalia
Neacomys paracou,Mammalia
Neacomys musseri,Mammalia
Neacomys minutus,Mammalia
Neacomys dubosti,Mammalia
Microakodontomys transitorius,Mammalia
Megaoryzomys curioi,Mammalia
Loxodontomys micropus,Mammalia
Lundomys molitor,Mammalia
Juliomys rimofrons,Mammalia
Loxodontomys pikumche,Mammalia
Juliomys pictipes,Mammalia
